"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.714288182221e-31,1.25803602695851,1,0.883,1.96786055730915e-26,"0","TFPI"
6.42272960475277e-28,1.41254645185403,0.995,0.984,1.45038079934527e-23,"0","FN1"
1.27607235151865e-27,0.791717950878509,1,0.992,2.88162658419941e-23,"0","RPL6"
3.43437121639912e-27,0.835998336953392,0.995,0.984,7.7554970808725e-23,"0","RPS7"
6.73002609732742e-27,1.43498976984003,0.99,0.754,1.51977449329848e-22,"0","C4orf48"
5.40448902321807e-26,1.01020684140318,1,0.984,1.22044171122311e-21,"0","MDK"
5.43227580343803e-26,1.7795255579363,0.954,0.698,1.22671652193238e-21,"0","OLFML3"
5.63121023138145e-25,0.626530676604123,1,0.996,1.27163989445056e-20,"0","RPL10"
1.01173069272393e-24,0.704728959268503,1,1,2.28469025030917e-20,"0","RPL37"
2.71548358069589e-24,0.572981412821397,1,0.992,6.13210502192747e-20,"0","RPL15"
3.04404697389735e-24,0.603504549785391,1,0.996,6.874066876455e-20,"0","RPS3"
1.06060893272684e-23,0.693969309324574,1,0.988,2.39506709188375e-19,"0","RPL5"
7.63350996114413e-23,0.596726595328192,1,0.996,1.72379921942557e-18,"0","RPL3"
8.03786699312552e-23,0.527249296886121,1,1,1.8151111243876e-18,"0","RPL31"
8.22828455841134e-23,1.23568122120705,0.812,0.327,1.85811121898045e-18,"0","HAPLN1"
8.715945749989e-23,0.697429128229367,1,0.98,1.96823486926252e-18,"0","RPL10A"
1.33500050539889e-22,0.598723979052051,1,0.992,3.01469814129178e-18,"0","RPS18"
2.13664390660645e-22,1.07888322433869,0.99,0.79,4.82496926989869e-18,"0","COLEC11"
5.99379894354757e-22,1.13933742505578,0.98,0.706,1.35351967743191e-17,"0","CDH11"
8.95109609134127e-22,0.440949047246703,1,1,2.02133651934668e-17,"0","EEF1A1"
9.41875759594132e-22,0.946577410419058,0.995,0.859,2.12694384031547e-17,"0","CTHRC1"
4.9153074123699e-21,0.565129860491127,1,0.996,1.10997471986137e-16,"0","RPL7"
5.98856059416721e-21,0.622658367741744,1,1,1.35233675337484e-16,"0","RPS29"
6.09495217405595e-21,0.629582685098824,0.995,0.996,1.37636209994531e-16,"0","RPS24"
6.56269151646006e-21,0.645587484607582,1,1,1.48198699824701e-16,"0","IFITM3"
3.82645422579389e-20,0.626171904347696,1,0.968,8.64089893268776e-16,"0","GNB2L1"
4.1576705785816e-20,0.570755845876698,1,0.996,9.38885170055296e-16,"0","RPS3A"
1.2273857597765e-19,0.504578149892256,1,1,2.77168252272729e-15,"0","RPS6"
1.91272733311292e-19,1.07657963987808,0.959,0.754,4.31932086363559e-15,"0","GAS5"
3.17673638156104e-19,0.585881010238641,0.995,0.972,7.17370609684115e-15,"0","RPL4"
3.66962480544051e-19,0.94422517267797,1,0.956,8.28674673564576e-15,"0","SAT1"
6.27489525690956e-19,0.624186080889014,0.995,0.992,1.41699684691532e-14,"0","RPS23"
9.646614637818e-19,1.30008517430261,0.843,0.464,2.17839851751206e-14,"0","KLHL4"
1.24456756919954e-18,0.546413966608275,1,0.996,2.81048248476639e-14,"0","RPL9"
2.12393331727855e-18,0.485977144911457,1,1,4.79626621707841e-14,"0","RPL13"
2.63791174386499e-18,0.511111977239816,1,0.988,5.95693229999591e-14,"0","RPL8"
2.89146848743362e-18,0.554381995497538,1,0.996,6.52951413832261e-14,"0","RPL37A"
3.10741712267269e-18,0.583096627501648,1,0.996,7.01716934641948e-14,"0","RPL11"
4.81185522520946e-18,0.517081756605726,1,1,1.0866131469568e-13,"0","RPL36"
7.48020858050058e-18,0.655354279058053,0.995,0.976,1.68918070164864e-13,"0","RPS15A"
9.03392961731242e-18,1.09286208657236,0.939,0.702,2.04004198618149e-13,"0","ISYNA1"
1.26102620088339e-17,0.704321309292302,1,0.964,2.84764936683486e-13,"0","RPL12"
1.83525742397788e-17,0.771531718214436,0.98,0.935,4.14437831482686e-13,"0","OST4"
2.11926726534967e-17,0.52885006489593,1,1,4.78572933861262e-13,"0","RPL32"
2.33208060916081e-17,0.5729058220168,1,1,5.26630443160694e-13,"0","RPL26"
4.18261978344173e-17,0.676122835927015,1,0.98,9.44519199496812e-13,"0","RPS12"
5.52105668195036e-17,0.576632125374206,1,0.968,1.24676501991803e-12,"0","RPS21"
7.5148224510595e-17,0.565521639213277,1,0.988,1.69699720589826e-12,"0","RPL38"
8.78972258927013e-17,0.572771460803165,1,0.992,1.98489515510898e-12,"0","RPL29"
1.28350861893416e-16,1.24891208055466,0.898,0.673,2.89841916327711e-12,"0","BGN"
1.74396011237997e-16,0.639446049116093,1,0.964,3.93821072577646e-12,"0","RPS5"
2.36234109118198e-16,0.501220531321478,1,0.992,5.33463865210715e-12,"0","RPL18"
3.65718939403522e-16,0.423680438631136,1,1,8.25866508961032e-12,"0","RPL41"
3.81275470514266e-16,0.671149944273351,0.99,0.948,8.60996267515316e-12,"0","ATP5G2"
4.00950483940813e-16,0.544256771952364,1,0.988,9.05426382835143e-12,"0","RPS27A"
5.54391704830276e-16,0.413181206834498,1,0.996,1.25192734784773e-11,"0","RPLP1"
1.09975357452969e-15,2.51850619598835,0.487,0.153,2.48346352200295e-11,"0","NTNG1"
1.36322110148827e-15,0.542946346531901,0.995,0.988,3.07842589138081e-11,"0","RPL23"
1.90223250646418e-15,0.516228414009525,1,0.98,4.2956214460974e-11,"0","RPS11"
2.31399039821853e-15,1.15099164770884,0.909,0.746,5.22545311725709e-11,"0","TMEM141"
2.81281017435002e-15,0.855439028011503,0.919,0.625,6.35188793571721e-11,"0","KRT18"
3.13990942420704e-15,0.448284908226299,1,0.996,7.09054346174433e-11,"0","RPL18A"
4.10028260860642e-15,0.491355751172693,1,0.984,9.25925818675503e-11,"0","RPS13"
4.22014726208183e-15,0.915846673389542,0.97,0.859,9.52993654723319e-11,"0","ARHGDIB"
5.67069474007393e-15,0.588685054534433,1,0.956,1.2805562862035e-10,"0","NGFRAP1"
7.71967648209657e-15,1.07247531887739,0.878,0.565,1.74325734318705e-10,"0","ITGA8"
1.42053107996656e-14,0.418666723501086,1,0.996,3.2078432847805e-10,"0","RPL27A"
1.78061106194723e-14,0.441901056534497,1,1,4.02097590008924e-10,"0","RPS14"
2.37595320149508e-14,0.469836757604988,1,1,5.3653775196162e-10,"0","RPL34"
2.58215594252209e-14,0.593563908808896,0.995,0.972,5.83102454940339e-10,"0","RPL14"
4.14126329299425e-14,0.542288428022049,0.995,0.976,9.35180076823961e-10,"0","RPL7A"
4.90447283906534e-14,1.04951107292354,0.858,0.548,1.10752805651773e-09,"0","ADGRG6"
7.51506015494768e-14,0.422129213738988,1,0.996,1.69705088419029e-09,"0","RPS19"
8.46507519412944e-14,2.04070704021609,0.726,0.456,1.91158328033831e-09,"0","FBN2"
1.11274707981339e-13,1.00563084171063,0.888,0.69,2.51280545563459e-09,"0","KCTD12"
1.1523167071465e-13,0.479317021034308,1,0.976,2.60216158807823e-09,"0","RPLP0"
1.42535229707266e-13,0.508259831900301,1,0.988,3.21873055724948e-09,"0","RPS20"
1.8404764397781e-13,1.52573862238306,0.523,0.206,4.1561638963069e-09,"0","GGT5"
2.04669795946172e-13,0.465984109711319,1,0.984,4.62185333205647e-09,"0","RPL19"
3.08118741430732e-13,0.500262946251723,0.99,0.984,6.95793741898879e-09,"0","NACA"
3.22004638866927e-13,0.460438478395625,1,0.98,7.27150875489295e-09,"0","EEF1G"
4.65523283472378e-13,0.719979081289107,0.995,0.931,1.05124467873732e-08,"0","WSB1"
6.55572473280185e-13,1.89491215419271,0.609,0.315,1.48041375916131e-08,"0","PDGFRB"
6.6640058379144e-13,0.463696557753974,1,0.984,1.50486579831783e-08,"0","RPL35A"
7.58341959970402e-13,0.692196223603076,0.99,0.948,1.71248781400516e-08,"0","RPL17"
8.14472078402536e-13,0.387565472744499,1,1,1.83924084744861e-08,"0","RPS27"
1.11983143540083e-12,0.461183636382563,1,1,2.52880334742215e-08,"0","RPL39"
1.33543127239094e-12,0.745639388103225,0.909,0.601,3.01567089931323e-08,"0","NPR3"
1.38805281888516e-12,0.747877011819695,0.97,0.855,3.13450087560648e-08,"0","PRDX4"
1.74958874815685e-12,0.806206118940233,0.858,0.577,3.9509213110878e-08,"0","SFRP1"
1.78734561441204e-12,0.632390045990893,0.995,0.94,4.03618386646526e-08,"0","NPM1"
1.89238714852567e-12,0.525087866890797,0.995,0.984,4.27338865880067e-08,"0","RPL35"
2.25584893885493e-12,0.778145481986319,0.98,0.847,5.09415807372219e-08,"0","RPL36A"
2.35558117705905e-12,0.966947312135594,0.858,0.565,5.31937341403474e-08,"0","PCDH7"
2.42878002034474e-12,0.577437846334858,1,0.96,5.48467104194249e-08,"0","MAGED2"
2.8323127470815e-12,0.769774465996196,0.893,0.649,6.39592864545944e-08,"0","CLEC11A"
3.03760451604544e-12,1.13238674914161,0.761,0.46,6.85951851813381e-08,"0","SERINC5"
3.17039489140255e-12,1.59273838069253,0.523,0.202,7.15938574376524e-08,"0","BIK"
3.52195846266061e-12,0.601017440813986,0.98,0.673,7.9532866003802e-08,"0","MEST"
4.03167102501019e-12,0.468395625453813,1,0.992,9.10431950867802e-08,"0","RPL30"
4.66763803987121e-12,0.608268726855902,0.985,0.923,1.05404602216372e-07,"0","RPSA"
4.97450105541667e-12,0.700008214629907,0.985,0.742,1.12334182833419e-07,"0","CGNL1"
5.05027419774492e-12,0.413323363042077,1,0.996,1.14045291933476e-07,"0","RPS15"
5.69306281949923e-12,0.538410234268196,0.99,0.968,1.28560744589932e-07,"0","EMCN"
1.27281777347777e-11,0.506256559530568,1,0.98,2.87427709606749e-07,"0","RPS4X"
1.88110228754073e-11,0.898901291868602,0.904,0.77,4.24790518572447e-07,"0","RNF7"
1.95154409456294e-11,0.797875667087051,0.858,0.556,4.40697687434203e-07,"0","LRIG3"
2.23135639209674e-11,1.35516074506126,0.665,0.339,5.03884900463285e-07,"0","APOC1"
4.16034820010181e-11,0.627647580205541,0.985,0.911,9.3948983054699e-07,"0","CALU"
6.25338782987785e-11,1.64695993272552,0.569,0.278,1.41214003974302e-06,"0","HAS2"
7.13450907018595e-11,1.25749487613523,0.726,0.448,1.61111483822939e-06,"0","APC"
7.7719597322678e-11,0.85267719987094,0.797,0.508,1.75506394674071e-06,"0","NIFK"
8.77843591554272e-11,0.830748389151375,0.898,0.665,1.98234639844786e-06,"0","EIF4EBP1"
9.31942120864437e-11,0.845136511291708,0.508,0.21,2.10451169733607e-06,"0","SLITRK4"
1.03319727411965e-10,0.52822786119704,1,0.935,2.333166084417e-06,"0","FXYD6"
1.12006262373018e-10,1.26938124909069,0.756,0.556,2.5293254169075e-06,"0","HAND2"
1.13329791388123e-10,0.773673812056691,0.817,0.5,2.5592133491266e-06,"0","LIMD2"
1.20966050301512e-10,0.547131838066965,1,0.996,2.73165534790874e-06,"0","COL3A1"
1.27640379518672e-10,0.482143903796434,0.995,0.984,2.88237505029065e-06,"0","RPL28"
1.73109940997141e-10,1.29708866530411,0.64,0.359,3.90916868759743e-06,"0","ENPP1"
2.00526873395194e-10,0.409956701090841,1,0.992,4.52829785501026e-06,"0","RPL24"
