"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00981003397933061,2.70771240790045,0.274,0.177,1,"0","WDR37"
1.60016412957515e-09,2.69284575720507,0.315,0.097,3.61349063740661e-05,"0","KLHL23"
1.09975357452969e-15,2.51850619598835,0.487,0.153,2.48346352200295e-11,"0","NTNG1"
2.96546869969056e-07,2.33459879946624,0.325,0.133,0.00669662141764121,"0","MMP11"
3.94569073982254e-07,2.23165505106332,0.289,0.105,0.00891015882866727,"0","FOLH1"
2.04659251240528e-07,2.22595698359425,0.325,0.129,0.0046216152115136,"0","SLC7A7"
0.0033016558699452,2.10316504380237,0.355,0.242,1,"0","NAV3"
1.17120050574535e-07,2.08677599188635,0.269,0.085,0.00264480498207415,"0","OLFM3"
0.000261723279810338,2.07607448189707,0.64,0.46,1,"0","DSG3"
8.46507519412944e-14,2.04070704021609,0.726,0.456,1.91158328033831e-09,"0","FBN2"
0.00111988054860515,2.00765214435811,0.289,0.169,1,"0","DZIP1"
1.9352735571908e-09,1.94848987796567,0.391,0.149,4.37023474684826e-05,"0","DPPA4"
4.43961967256067e-09,1.91719602919079,0.33,0.113,0.000100255491445765,"0","AGTR2"
6.66217163044362e-07,1.8999260030411,0.31,0.125,0.0150445159758678,"0","PRLR"
6.55572473280185e-13,1.89491215419271,0.609,0.315,1.48041375916131e-08,"0","PDGFRB"
0.000817213524102579,1.84856565795359,0.279,0.157,1,"0","FGF23"
5.7452985619716e-05,1.78694708939331,0.355,0.206,1,"0","SAMSN1"
5.43227580343803e-26,1.7795255579363,0.954,0.698,1.22671652193238e-21,"0","OLFML3"
4.96571641381759e-06,1.68637330731417,0.274,0.109,0.112135808056829,"0","KCNH7"
7.82903149383199e-09,1.68204152896384,0.589,0.371,0.000176795189193714,"0","FAM110B"
2.33160265991822e-05,1.66293711834929,0.254,0.105,0.526522512662733,"0","ADCYAP1"
6.25338782987785e-11,1.64695993272552,0.569,0.278,1.41214003974302e-06,"0","HAS2"
0.000327003143544605,1.59559921510612,0.35,0.222,1,"0","ANGPT2"
3.17039489140255e-12,1.59273838069253,0.523,0.202,7.15938574376524e-08,"0","BIK"
8.47745687855806e-07,1.5926218067683,0.574,0.367,0.0191437931231598,"0","SNHG18"
1.3890246276603e-05,1.57894990985113,0.289,0.125,0.313669541418248,"0","RMRP"
7.68588472593485e-06,1.5630803664178,0.31,0.145,0.173562648881061,"0","PTGER3"
1.33354137398236e-09,1.53366345821814,0.421,0.165,3.01140313072696e-05,"0","ZNF761"
1.8404764397781e-13,1.52573862238306,0.523,0.206,4.1561638963069e-09,"0","GGT5"
2.14110759820676e-06,1.47897876341858,0.452,0.266,0.0483504917827052,"0","EDIL3"
2.54274490329931e-10,1.47845166517938,0.569,0.286,5.7420265406305e-06,"0","F2RL2"
0.000827325369597085,1.46988511947614,0.396,0.274,1,"0","BET1L"
0.00420568930443541,1.45336237604774,0.274,0.161,1,"0","FOCAD"
0.000568823946804462,1.43646894555839,0.269,0.141,1,"0","PGPEP1"
6.73002609732742e-27,1.43498976984003,0.99,0.754,1.51977449329848e-22,"0","C4orf48"
1.31723992664181e-05,1.42417112916966,0.381,0.198,0.297459120234254,"0","C18orf21"
1.88714629568634e-05,1.41328393358471,0.457,0.286,0.426155376491889,"0","SPIN4"
6.42272960475277e-28,1.41254645185403,0.995,0.984,1.45038079934527e-23,"0","FN1"
2.11399611793276e-06,1.37637301664912,0.472,0.286,0.0477382603351575,"0","SORD"
2.23135639209674e-11,1.35516074506126,0.665,0.339,5.03884900463285e-07,"0","APOC1"
2.46368041095292e-07,1.35406320307321,0.36,0.157,0.00556348310401387,"0","COL2A1"
2.6475907383707e-06,1.3539242195626,0.335,0.153,0.0597878940538872,"0","SALL3"
2.91479033402046e-06,1.35376499774426,0.284,0.109,0.06582179532285,"0","UNC5C"
0.00108182487582821,1.32485099085873,0.305,0.181,1,"0","NAP1L5"
0.000372616317144696,1.31610889042252,0.325,0.198,1,"0","SLC7A1"
2.13537020482626e-06,1.31352190133481,0.32,0.133,0.0482209299653866,"0","CNTN6"
0.00249382130467842,1.30132553600737,0.36,0.246,1,"0","TMTC4"
0.000380205880946745,1.30014576453265,0.371,0.238,1,"0","PPIB"
9.646614637818e-19,1.30008517430261,0.843,0.464,2.17839851751206e-14,"0","KLHL4"
2.70138299311585e-07,1.29980538050173,0.645,0.423,0.00610026307505421,"0","APOE"
0.00982426411806306,1.29826109586492,0.569,0.508,1,"0","AIF1"
1.73109940997141e-10,1.29708866530411,0.64,0.359,3.90916868759743e-06,"0","ENPP1"
0.00176284839179365,1.28704555274681,0.406,0.29,1,"0","ROGDI"
0.00244085928559172,1.28596246463261,0.452,0.363,1,"0","HLA-DRB1"
3.91457119977269e-08,1.27141805254022,0.508,0.254,0.000883988468332668,"0","SORCS1"
1.12006262373018e-10,1.26938124909069,0.756,0.556,2.5293254169075e-06,"0","HAND2"
0.000100517176874136,1.26363661246217,0.513,0.375,1,"0","SEMA5A"
8.714288182221e-31,1.25803602695851,1,0.883,1.96786055730915e-26,"0","TFPI"
7.13450907018595e-11,1.25749487613523,0.726,0.448,1.61111483822939e-06,"0","APC"
0.000470855818555516,1.25577557426704,0.305,0.173,1,"0","ITGA11"
1.28350861893416e-16,1.24891208055466,0.898,0.673,2.89841916327711e-12,"0","BGN"
0.000382752420678261,1.24397124469797,0.335,0.198,1,"0","NBPF10"
8.91732662913311e-10,1.23965586868283,0.523,0.238,2.01371069939084e-05,"0","KCNK6"
8.22828455841134e-23,1.23568122120705,0.812,0.327,1.85811121898045e-18,"0","HAPLN1"
3.15452874483317e-07,1.22974787309171,0.508,0.29,0.00712355681158227,"0","ZNF195"
0.00298447214832326,1.21873575485251,0.381,0.274,1,"0","C12orf45"
0.000592542268739614,1.20871689836157,0.431,0.294,1,"0","UPP1"
0.000208603575806514,1.20131686774715,0.406,0.258,1,"0","APEH"
0.000457387911293118,1.19876162700527,0.33,0.19,1,"0","GOLGA1"
0.000209411826721038,1.19841512073403,0.396,0.246,1,"0","PJA1"
0.00444161186058512,1.1777925969974,0.31,0.21,1,"0","C3orf38"
0.00323156485135804,1.17602448714906,0.355,0.246,1,"0","PPP1R12C"
1.41714127095112e-06,1.16047677654489,0.503,0.298,0.0320018841806182,"0","RPS4Y1"
7.05754188192495e-09,1.15871755274886,0.629,0.371,0.000159373410777629,"0","TLE2"
5.96700134801878e-10,1.15781566296539,0.65,0.363,1.3474682444096e-05,"0","DSC2"
2.31399039821853e-15,1.15099164770884,0.909,0.746,5.22545311725709e-11,"0","TMEM141"
0.000351334909858799,1.15049890206897,0.259,0.129,1,"0","PCDH10"
0.00220299119651867,1.14335382808868,0.264,0.153,1,"0","PYROXD2"
5.99379894354757e-22,1.13933742505578,0.98,0.706,1.35351967743191e-17,"0","CDH11"
3.03760451604544e-12,1.13238674914161,0.761,0.46,6.85951851813381e-08,"0","SERINC5"
5.90496399927924e-07,1.12982768990775,0.635,0.464,0.0133345897031724,"0","PLA2G5"
1.90530174250085e-06,1.11948740920444,0.355,0.153,0.0430255239491542,"0","FUOM"
1.1583420658856e-07,1.1173927776203,0.604,0.383,0.00261576805318285,"0","GGTA1P"
2.31467570366707e-05,1.10673378654312,0.452,0.27,0.522700067402097,"0","MCC"
0.00108949461581177,1.1025170153444,0.299,0.177,1,"0","HSD17B14"
4.09424129266522e-05,1.1022242136507,0.376,0.206,0.92456156870966,"0","BMPR1B"
2.38961971840742e-06,1.10117473773726,0.431,0.23,0.0539623924810764,"0","GPSM3"
9.75987140825561e-09,1.09440307114948,0.528,0.27,0.000220397416141228,"0","NR2F1"
9.03392961731242e-18,1.09286208657236,0.939,0.702,2.04004198618149e-13,"0","ISYNA1"
0.000213103168234067,1.09023560751161,0.548,0.403,1,"0","TGFBR3"
0.000317258663341889,1.08918509352542,0.396,0.238,1,"0","IFT20"
9.90335515134265e-05,1.08666071006717,0.477,0.327,1,"0","RPSAP58"
2.13664390660645e-22,1.07888322433869,0.99,0.79,4.82496926989869e-18,"0","COLEC11"
1.91272733311292e-19,1.07657963987808,0.959,0.754,4.31932086363559e-15,"0","GAS5"
7.71967648209657e-15,1.07247531887739,0.878,0.565,1.74325734318705e-10,"0","ITGA8"
9.94611926499595e-06,1.06230498933905,0.523,0.351,0.224603265242139,"0","MRPL10"
4.95091017837071e-08,1.05496829391241,0.609,0.363,0.00111801453647967,"0","SPON1"
4.90447283906534e-14,1.04951107292354,0.858,0.548,1.10752805651773e-09,"0","ADGRG6"
0.000254679523717904,1.04265939518089,0.421,0.262,1,"0","TMEM178A"
1.55825094642245e-05,1.04157504538969,0.609,0.419,0.351884228721118,"0","ZBTB8OS"
3.38845702412733e-05,1.03733082903339,0.497,0.327,0.765181365188434,"0","TIMM10B"
4.68264427699582e-08,1.03133440109481,0.721,0.504,0.0010574347306312,"0","ATP1B1"
0.00368468910047576,1.02614624453665,0.543,0.444,1,"0","MAGI2-AS3"
0.000687048709047633,1.0253235218339,0.437,0.306,1,"0","TARBP1"
1.01168845049292e-06,1.0173864603635,0.706,0.512,0.0228459485890311,"0","EIF4EBP2"
0.0020759421437225,1.01482629078678,0.35,0.226,1,"0","PPM1H"
0.00271233351892279,1.01357093617162,0.279,0.177,1,"0","NEO1"
5.40448902321807e-26,1.01020684140318,1,0.984,1.22044171122311e-21,"0","MDK"
8.593240055977e-08,1.00905428832131,0.579,0.319,0.00194052546944073,"0","NT5DC2"
0.00557212334207699,1.00657080732062,0.462,0.363,1,"0","TRIM5"
1.25343568997777e-06,1.0061470388095,0.467,0.25,0.028305084751078,"0","PRKCB"
1.11274707981339e-13,1.00563084171063,0.888,0.69,2.51280545563459e-09,"0","KCTD12"
0.0052791015192399,0.998429433505809,0.284,0.185,1,"0","CACNB3"
5.37671184794345e-07,0.995283810706858,0.645,0.452,0.0121416906950259,"0","DSG2"
1.2879537924817e-07,0.9950332285714,0.792,0.601,0.00290845725418219,"0","MRPS26"
0.000285756447409281,0.992944833650121,0.604,0.472,1,"0","ITSN1"
5.89512404467147e-07,0.989521797433196,0.533,0.327,0.0133123691176771,"0","HEPH"
0.000936927487599014,0.983710014823488,0.401,0.27,1,"0","TSPAN5"
0.00273256500353833,0.982973536254221,0.416,0.286,1,"0","MRS2"
0.000765439473853861,0.978781543859918,0.604,0.532,1,"0","WDR45"
0.00217277181290424,0.975332682080704,0.335,0.218,1,"0","FJX1"
0.0099010468291695,0.96787536262516,0.538,0.419,1,"0","IMPAD1"
2.43406006648692e-05,0.96783237682231,0.604,0.468,0.549659444214077,"0","TRO"
2.35558117705905e-12,0.966947312135594,0.858,0.565,5.31937341403474e-08,"0","PCDH7"
0.0036569358015457,0.963355564437999,0.305,0.202,1,"0","SLC7A2"
0.000699020662608193,0.959730510854201,0.289,0.157,1,"0","TFIP11"
0.00259061956407899,0.959673365957635,0.482,0.371,1,"0","GLMP"
4.15661473375688e-06,0.957382103060777,0.772,0.633,0.0938646739176978,"0","COTL1"
